word1,word2,strategy,detail,cosine_similarity,human_score,in_vocab
odabuka,usizi,random_unrelated,,0.394052,0.320837,Both
kuthathelwe,ngenkani.,random_unrelated,,0.415737,0.336016,Both
uzokhuluma,uzofihlwa,morphological,class11,0.576667,0.598667,Both
daba,yizinsizwa,random_unrelated,,0.42659,0.343613,Both
ngo-2006,ophikweni,cooccurrence,freq=2,0.583121,0.573185,Both
wukugula,banemali,random_unrelated,,0.35398,0.292786,Both
ushayelele,usinde,morphological,class11,0.503992,0.547794,Both
ethiya,icertificate,random_unrelated,,0.53022,0.416154,Both
2025,ubuholi,cooccurrence,freq=2,0.551831,0.551282,Both
etholakala,olwandle,cooccurrence,freq=116,0.324148,0.391904,Both
ukwethembana,ukugijima,morphological,class15_infinitive,0.218697,0.348088,Both
"nenjongo,",iyashesha,random_unrelated,,0.109655,0.121758,Both
uvakashele,ugweme,morphological,class11,0.390365,0.468255,Both
abakhuliswe,yokuqala,random_unrelated,,0.019082,0.058358,Both
ukwelapha,ukusebenza.,morphological,class15_infinitive,0.216417,0.346492,Both
izintaba,imvelo,semantic_within,nature,0.073766,0.276636,Both
bawafake,ngoba,cooccurrence,freq=2,-0.015348,0.154256,Both
ibizimali,icicephu,morphological,class5_singular,0.663475,0.659432,Both
kwathathwa,okuyilapho,cooccurrence,freq=2,0.395559,0.441891,Both
ulwazi,imfundo,semantic_within,education,0.25698,0.404886,Both
intengo:,akunamthetho,random_unrelated,,0.370932,0.304652,Both
washisekela,yayo,random_unrelated,,0.236707,0.210695,Both
izifiso,izulu,morphological,class8_plural,0.178038,0.319626,Both
"ayaziwa,",esekhaya.,random_unrelated,,0.469855,0.373898,Both
inyuvesi,waphila,cooccurrence,freq=2,0.236158,0.33031,Both
"isinqumo,","isolezwe,",morphological,class7_singular,0.554922,0.583446,Both
waziveza,ngize,random_unrelated,,0.37455,0.307185,Both
886),onjani,random_unrelated,,0.123027,0.131119,Both
kudayisa,ngaphansi.,random_unrelated,,0.3838,0.31366,Both
eyayiveza,nendlala,random_unrelated,,0.455465,0.363826,Both
isivivinyo,impumelelo,semantic_within,education,0.107125,0.299987,Both
abadinga,nobuhlungu,random_unrelated,,0.364664,0.300265,Both
isikole,umtapo,semantic_within,education,0.256485,0.404539,Both
izoba,kwemihlanu,random_unrelated,,0.185832,0.175083,Both
ababhali,abawu-88.,morphological,class2_plural,0.188922,0.327245,Both
bazimisela,"obukhulu,",cooccurrence,freq=1370,0.180348,0.291244,Both
ukumosha,"ukubhukuda,",morphological,class15_infinitive,0.534304,0.569013,Both
uzozwa,"u-anthony,",morphological,class11,0.28514,0.394598,Both
indlu,isiteshi,semantic_within,places,0.077553,0.279287,Both
ukondla,ukuthakasela,morphological,class15_infinitive,0.534187,0.568931,Both
esinezinhlelo,olusiza,cooccurrence,freq=96,0.17837,0.289859,Both
umndeni,ummangalelwa.,morphological,class1_singular,0.155655,0.303959,Both
bayathanda,kusiza,cooccurrence,freq=54,0.285571,0.3649,Both
uyacabanga,ungcebeleka,morphological,class11,0.223008,0.351106,Both
singasali,kucekela,random_unrelated,,0.432311,0.347618,Both
bazohleka,"ezimbalwa,",cooccurrence,freq=2,0.244362,0.336053,Both
owawucasha,aphakamise,random_unrelated,,0.549451,0.429615,Both
ngazo.,inxeba,random_unrelated,,0.450413,0.360289,Both
sithenge,ibhola,random_unrelated,,0.231518,0.207063,Both
abalandeli,ngabakwezinye,random_unrelated,,0.269525,0.233668,Both
"edolobheni,",uyazinikela,cooccurrence,freq=8,0.176513,0.288559,Both
kuhlukumezeka,kuyadumaza,cooccurrence,freq=2,0.737959,0.681571,Both
000,ngonyaka,cooccurrence,freq=2,0.166086,0.28126,Both
ngokwemithetho,emnothweni,random_unrelated,,0.278358,0.23985,Both
emasimini,unkosi,cooccurrence,freq=34,0.222737,0.320916,Both
ihhashi,kushone,random_unrelated,,0.455297,0.363708,Both
imbobo,ababalulekile,random_unrelated,,0.235111,0.209578,Both
eminwe,"okumnandi,",random_unrelated,,0.178934,0.170254,Both
"kokuzimela,",nokuthuthukisa,cooccurrence,freq=2,0.340726,0.403509,Both
khona,ngokuphepha,cooccurrence,freq=2,0.049688,0.199781,Both
nosihle,"kude,",random_unrelated,,0.414862,0.335403,Both
isinkwa,indishi,semantic_within,food,0.413715,0.514601,Both
incwadi,imfundo,semantic_within,education,0.017993,0.237595,Both
agadulisane,nezafukula,random_unrelated,,0.397596,0.323317,Both
kusasa,zihambisane,cooccurrence,freq=48,0.208828,0.311179,Both
enkampini,usbusiso,cooccurrence,freq=8,0.329283,0.395498,Both
ukuphumelela.,ukungahloniphi,morphological,class15_infinitive,0.13785,0.291495,Both
ihlosi,izinja,semantic_within,animals,0.505884,0.579119,Both
amakhulu,namagatsha,cooccurrence,freq=2,0.162832,0.278983,Both
uhlelo,uyamfundisa,morphological,class11,0.244469,0.366128,Both
kubekhona,ngcono,cooccurrence,freq=26,0.186711,0.295698,Both
ahlanzekile,unozipho,cooccurrence,freq=20,0.401374,0.445962,Both
ezikhulu,zikhanga,random_unrelated,,0.038445,0.071911,Both
abanakekeli,emaplasini,random_unrelated,,0.164815,0.16037,Both
"izinto,",umlungisi,cooccurrence,freq=4,0.147814,0.26847,Both
idolo,"i-meyo,",morphological,class5_singular,0.233269,0.358288,Both
yezinsolo,zokugweva,cooccurrence,freq=4,0.650911,0.620638,Both
imali,isikweletu,semantic_within,money,0.352394,0.471676,Both
ubheke,ungawa,morphological,class11,0.573042,0.596129,Both
igcina,i-benny,morphological,class5_singular,0.456898,0.514828,Both
ikhiqiza,iyazi,morphological,class5_singular,0.278046,0.389632,Both
enkulu,seyiklame,cooccurrence,freq=2,-0.040151,0.136895,Both
ukuphana,ukufakwa,morphological,class15_infinitive,0.13961,0.292727,Both
kokulimala.,ngaphandle,cooccurrence,freq=2,0.396903,0.442832,Both
asolwandle,wakhe,cooccurrence,freq=2,0.236557,0.33059,Both
ukubandlulula,eziphakeme.,random_unrelated,,0.376627,0.308639,Both
osemhlabeni,bawulawule,random_unrelated,,0.517315,0.40712,Both
imali,yomphakathi,cooccurrence,freq=4,0.098344,0.233841,Both
nezilwane.,amahloni,random_unrelated,,0.265443,0.23081,Both
"namhlanje,",omusha,cooccurrence,freq=24,0.232263,0.327584,Both
babuya,umphakathi,cooccurrence,freq=2,0.187037,0.295926,Both
uhulumeni,uzokhuluma,morphological,class11,0.397199,0.473039,Both
bahlela,izethulo,cooccurrence,freq=10,0.265686,0.35098,Both
ubisi,ukuphuza,semantic_within,food,0.386953,0.495867,Both
elithandekayo,zomphakathi,cooccurrence,freq=18,0.181169,0.291818,Both
abantu,zizoguquka,cooccurrence,freq=428,-0.007133,0.160007,Both
izinto.,izindaba.,morphological,class8_plural,0.358487,0.445941,Both
siqinisekise,kwezwakala.,random_unrelated,,0.318781,0.268147,Both
"egumbini,",ngesonto,cooccurrence,freq=26,0.364361,0.420053,Both
"oluhle,","kokuzimela,",random_unrelated,,0.136562,0.140593,Both
zibhekela,athakwa,random_unrelated,,0.345029,0.28652,Both
101),ngokuzeluleka.,random_unrelated,,0.300417,0.255292,Both
usiyanda,uxhuma,morphological,class11,0.08276,0.252932,Both
ihlathi,izintaba,semantic_within,nature,0.311281,0.442897,Both
babe,izindlu,cooccurrence,freq=8248,0.441144,0.473801,Both
172),sidlala,random_unrelated,,0.26736,0.232152,Both
abakhokheli,"abakhulekeli,",morphological,class2_plural,0.520854,0.559598,Both
namaketango,ingifikisa,random_unrelated,,0.549654,0.429758,Both
627),umbala,random_unrelated,,0.295864,0.252105,Both
ilokishi,indlu,semantic_within,places,0.21987,0.378909,Both
ungakapheli.,ucace,morphological,class11,0.696679,0.682675,Both
esikoleni,umphathi,cooccurrence,freq=2,0.213895,0.314727,Both
ngemva,umngane,cooccurrence,freq=72,0.27333,0.356331,Both
enkulu,"yezemidlalo,",cooccurrence,freq=20,0.163499,0.279449,Both
amaphoyisa,amagquma,morphological,class6_plural,0.351845,0.441292,Both
i-amandlenkosi,ibhrike,morphological,class5_singular,0.651232,0.650863,Both
wulimit.,akukuhle,random_unrelated,,0.542541,0.424779,Both
nezimfanelo,educare,random_unrelated,,0.19463,0.181241,Both
egcekeni,inja,cooccurrence,freq=6,0.299862,0.374903,Both
ucingo,ucansi,morphological,class11,0.573266,0.596286,Both
eningi,umalume,cooccurrence,freq=2,0.355253,0.413677,Both
udokotela,ukwelapha,semantic_within,health,0.155201,0.333641,Both
uyageza,ungenzi,morphological,class11,0.23096,0.356672,Both
ipakiwe,ngaphandle,cooccurrence,freq=2,0.196134,0.302294,Both
esithangamini,"ngihlale,",random_unrelated,,0.451418,0.360993,Both
isifundo,kakhulu,cooccurrence,freq=2,0.081339,0.221937,Both
ekuphatheni,usihle,cooccurrence,freq=40,0.334459,0.399121,Both
sezikwenza,indalo.,random_unrelated,,0.180894,0.171626,Both
ngokugqugquzela,ngicabanga,random_unrelated,,0.407081,0.329956,Both
incwadi,iphepha,semantic_within,education,0.433113,0.528179,Both
livunye,bezepolitiki,random_unrelated,,0.300524,0.255367,Both
undlovu.,uyogubha,morphological,class11,0.512435,0.553704,Both
ubabonga,ugogo,morphological,class11,0.148367,0.298857,Both
ungathini,ujacob,morphological,class11,0.285121,0.394585,Both
ugcizelele,udisemba,morphological,class11,0.329188,0.425432,Both
izazi,izinso,morphological,class8_plural,0.258635,0.376045,Both
amazambane,isitsha,semantic_within,food,0.370309,0.484216,Both
ingcebo,jiyane,random_unrelated,,0.551784,0.431249,Both
eside.,idili,random_unrelated,,0.297644,0.253351,Both
izimpesheni,"izibani,",morphological,class8_plural,0.221787,0.350251,Both
lomthetho,okungenzeka,random_unrelated,,0.285445,0.244812,Both
incwadi,ulwazi,semantic_within,education,0.128788,0.315151,Both
amanzi,imithi,semantic_within,nature,0.201714,0.3662,Both
theknoloji,ukudlala,semantic_across,technology_vs_sport,0.168319,0.207823,Both
elinothando,umbuso,cooccurrence,freq=4,0.200085,0.30506,Both
ubingelelwa,udlambedlu,morphological,class11,0.588056,0.606639,Both
baneqiniso,ecawa,cooccurrence,freq=18,0.407766,0.450436,Both
ihhotela,isiteshi,semantic_within,places,0.502734,0.576914,Both
wegazi.,ku-nyuvesi,random_unrelated,,0.443746,0.355622,Both
nesifiso,zokwelashwa,cooccurrence,freq=184,0.10098,0.235686,Both
uhulumeni,icala,semantic_within,government,0.131779,0.317245,Both
bayawusebenzisa,kobuholi,random_unrelated,,0.218638,0.198046,Both
"ukubekezelelana,",ukuzinikela,morphological,class15_infinitive,0.218703,0.348092,Both
usinokholo,"uthebe,",morphological,class11,0.499995,0.544996,Both
591),zifanekisela,random_unrelated,,0.159968,0.156978,Both
amaphoyisa,ukudlala,semantic_across,police_law_vs_sport,0.16468,0.205276,Both
uyabuza,uthuli,morphological,class11,0.186465,0.325525,Both
ikilasi,i-i,morphological,class5_singular,0.238805,0.362164,Both
emzini,kokucabanga,cooccurrence,freq=52,0.242612,0.334829,Both
uju,usufikile,morphological,class11,0.371322,0.454926,Both
wafundisa,entsha,random_unrelated,,0.260486,0.22734,Both
amaphupho,emakethe,cooccurrence,freq=82,0.211421,0.312995,Both
"ecacile,",ezinzima,cooccurrence,freq=2,0.464702,0.490291,Both
ufunda,uhlolele,morphological,class11,0.170099,0.314069,Both
u-100%.,uzibuka,morphological,class11,0.506151,0.549305,Both
umabonakude,theknoloji,semantic_within,technology,0.538734,0.602114,Both
ngesonto,uyazazi,cooccurrence,freq=18,0.21908,0.318356,Both
azilungiselele,esibhedlela,cooccurrence,freq=4,0.251554,0.341088,Both
baphila,ozimisele,cooccurrence,freq=2,0.141942,0.26436,Both
izinyanga,lokufundela,random_unrelated,,0.286251,0.245376,Both
indlu,waphila,cooccurrence,freq=24,0.282086,0.36246,Both
usisi,uyahlangana.,morphological,class11,0.161654,0.308158,Both
iziphiwo,"izindlini,",morphological,class8_plural,0.174242,0.31697,Both
beliqala,"eyehlukene,",random_unrelated,,0.25183,0.221281,Both
abaholi,ukuze,cooccurrence,freq=866,0.209335,0.311535,Both
yakubo,"ezinhle,",random_unrelated,,-0.002197,0.043462,Both
ikhibhodi,umsakazo,semantic_within,technology,0.55096,0.610672,Both
ilivume,khasimende,random_unrelated,,0.5916,0.45912,Both
esemakhaya,izinkundla,cooccurrence,freq=2,0.363118,0.419182,Both
indlu,okwamanje,cooccurrence,freq=66,0.25776,0.345432,Both
enkundleni,izimpilo,cooccurrence,freq=8,0.097076,0.232953,Both
zithokozele,"yigagasi,",random_unrelated,,0.365527,0.300869,Both
unezinto,ujaji,morphological,class11,0.091013,0.258709,Both
uyakhula,uyazama,morphological,class11,0.26426,0.379982,Both
nombolo:,“meyo”,cooccurrence,freq=2,0.754309,0.693016,Both
ukulandelela,ukutshelwa,morphological,class15_infinitive,0.24627,0.367389,Both
abangangisiza,35),random_unrelated,,0.15775,0.155425,Both
ne-archery,luyinsika,random_unrelated,,0.300229,0.25516,Both
"abaningi,",futhi,cooccurrence,freq=398,0.106683,0.239678,Both
ubisi,ikhukhamba,semantic_within,food,0.509213,0.581449,Both
iyisibani,igazi,morphological,class5_singular,0.073798,0.246659,Both
ngusenzo,usmomoza,cooccurrence,freq=2,0.765715,0.701001,Both
emaplasini,"kwenyanga,",cooccurrence,freq=6,0.195679,0.301975,Both
uyasikhombisa,usufonela,morphological,class11,0.353672,0.44257,Both
"ezimnandi,",ngamandla,cooccurrence,freq=6,0.181784,0.292248,Both
“kubuhlungu,kokuziphatha,random_unrelated,,0.377763,0.309434,Both
527),"nabantwana,",random_unrelated,,0.378076,0.309653,Both
siphume,olusemqoka,random_unrelated,,0.47844,0.379908,Both
ngemva,wasenyuvesi,cooccurrence,freq=70,0.170864,0.284605,Both
ngoba,yesizwe,cooccurrence,freq=2016,0.165998,0.281199,Both
ngezindlela,ziyasiza.,cooccurrence,freq=2,0.101983,0.236388,Both
bayapheka,egoli,cooccurrence,freq=6,0.299851,0.374896,Both
izwe,umnewethu,cooccurrence,freq=8,0.276855,0.358798,Both
ukuziqalela,ukubanika,morphological,class15_infinitive,0.293291,0.400304,Both
eningizimu,kuthiwa,cooccurrence,freq=2,0.334874,0.399412,Both
ubuqhawe,uyahlangana.,morphological,class11,0.125545,0.282881,Both
izethameli,izakhiwo,morphological,class8_plural,0.276189,0.388333,Both
uyacula,ulimi,morphological,class11,0.058186,0.23573,Both
bahlala,befunda,cooccurrence,freq=6,0.266352,0.351446,Both
itheku,indlu,semantic_within,places,0.215828,0.37608,Both
"yebandla,","emthethweni,",random_unrelated,,0.400965,0.325675,Both
204),agcinwa,random_unrelated,,0.346177,0.287324,Both
impilo,ikhibhodi,semantic_across,health_vs_technology,0.026648,0.108654,Both
nesimeme.,ibhola,random_unrelated,,0.304437,0.258106,Both
ngomashi,"nyakenye,",cooccurrence,freq=2,0.482105,0.502474,Both
ukuqaphela,ukungena,morphological,class15_infinitive,0.333227,0.428259,Both
i-benny,iphukile,morphological,class5_singular,0.45465,0.513255,Both
zigcinwe,"enyuvesi,",random_unrelated,,0.37875,0.310125,Both
"eziyisiko,",abaphilayo,random_unrelated,,0.282946,0.243062,Both
ngokweseka,kuzosisiza,random_unrelated,,0.349185,0.289429,Both
ezikoleni,kubafundi,cooccurrence,freq=4,0.229823,0.325876,Both
ikhwaya,umbhalo,semantic_within,music,0.423879,0.521715,Both
"emnandi,",ezinhle,cooccurrence,freq=20,0.076241,0.218369,Both
isifo,impilo,semantic_within,health,0.052051,0.261436,Both
uthandeka,ucula,morphological,class11,0.176196,0.318337,Both
ibhekane,iyisendlalelo,morphological,class5_singular,0.426919,0.493843,Both
idangele,kokuhosha,random_unrelated,,0.43546,0.349822,Both
inkomishi,bayahlanza,random_unrelated,,0.207785,0.19045,Both
lapho-ke,ekubeni,random_unrelated,,0.279973,0.240981,Both
bayakhuluma,ngolwazi,cooccurrence,freq=2,0.226604,0.323623,Both
imifino,ukufunda,semantic_across,food_vs_education,0.165115,0.205581,Both
kucelwe,masindi,random_unrelated,,0.541047,0.423733,Both
"nezinolwazi,",enecala,random_unrelated,,0.197297,0.183108,Both
508),ezonke,random_unrelated,,0.209534,0.191674,Both
ihhotela,"ilanga,",morphological,class5_singular,0.151265,0.300885,Both
engango-r5,kuphela.,random_unrelated,,0.181073,0.171751,Both
noandile,eqokwa,random_unrelated,,0.234969,0.209478,Both
umoremi,elilodwa,random_unrelated,,0.500875,0.395613,Both
umfazi,indoda,semantic_within,family,0.530283,0.596198,Both
kuthe,ngonyaka,cooccurrence,freq=2,0.130382,0.256268,Both
uthe:,ungakhathazekile,morphological,class11,0.167659,0.312361,Both
ucotshelelwa,likamccarthy,random_unrelated,,0.551562,0.431093,Both
akabhejane.,etafuleni,random_unrelated,,0.3114,0.26298,Both
ibhakede,"me,",random_unrelated,,0.446656,0.357659,Both
kusetshenziswa,lutholwe,cooccurrence,freq=2,0.320676,0.389473,Both
esishicilele,wabazali,random_unrelated,,0.152876,0.152013,Both
bebhukuda,48),random_unrelated,,0.40171,0.326197,Both
"ehhotela,","nangaphakathi,",cooccurrence,freq=2,0.189757,0.29783,Both
5,umkhandlu,cooccurrence,freq=2,0.196944,0.302861,Both
kube,ukufundisa,cooccurrence,freq=110,0.092978,0.230085,Both
8),ayithenge,random_unrelated,,0.268423,0.232896,Both
nokho,uyabonga,cooccurrence,freq=10,0.128829,0.25518,Both
uyawuthola,ubungozi,morphological,class11,0.337802,0.431461,Both
ukukhuthazwa,ukuwela,morphological,class15_infinitive,0.319325,0.418527,Both
ngokusebenza,zikhathi,cooccurrence,freq=2,0.129859,0.255901,Both
574),phuthume,random_unrelated,,0.423879,0.341715,Both
amazambane,ikhukhamba,semantic_within,food,0.493754,0.570628,Both
uhlanza,ungawa,morphological,class11,0.160173,0.307121,Both
ubani,u-90,morphological,class11,0.215722,0.346005,Both
"ukunakekela,",ukutholwa,morphological,class15_infinitive,0.212968,0.344078,Both
bank,nodlame,random_unrelated,,0.537247,0.421073,Both
"ngomuso.""",ogijima,random_unrelated,,0.192521,0.179765,Both
incwadi,inkantolo,semantic_across,education_vs_police_law,0.320375,0.314263,Both
okungenzeka,aphile,random_unrelated,,0.224645,0.202251,Both
abangasizakala,uma,cooccurrence,freq=4,0.104776,0.238343,Both
usuku,ufakazi,morphological,class11,0.493392,0.540375,Both
ethekwini.,umuntu,cooccurrence,freq=4,0.056567,0.204597,Both
obufuneka,okukhulu,cooccurrence,freq=28,0.12663,0.253641,Both
737),oqaphela,random_unrelated,,0.20301,0.187107,Both
bese,sciences,cooccurrence,freq=2,0.240752,0.333527,Both
abasebenzi,amathuba,cooccurrence,freq=16,0.124458,0.25212,Both
izinkomo,izimvu,semantic_within,animals,0.610471,0.652329,Both
ukusebenzela,ukulibona,morphological,class15_infinitive,0.260827,0.377579,Both
elikhulu,ihlosi,cooccurrence,freq=2,0.188886,0.29722,Both
"zesizwe,",kwakusafunda,random_unrelated,,0.121675,0.130172,Both
endawo,amathathu,random_unrelated,,0.241173,0.213821,Both
zikhulula,emanzini,random_unrelated,,0.209705,0.191793,Both
ubufakazi,abazama,random_unrelated,,0.283395,0.243377,Both
ibhotela,amazambane,semantic_within,food,0.439362,0.532554,Both
angizange,ukuxinwa,random_unrelated,,0.47438,0.377066,Both
"naso,”",ukuhambisana,random_unrelated,,0.348567,0.288997,Both
izingubo,neamazwi,cooccurrence,freq=4,0.117222,0.247055,Both
emthonjeni,ezisiza,cooccurrence,freq=12,0.499558,0.514691,Both
"konke,",95),random_unrelated,,0.130215,0.136151,Both
uqale,ungakanani,morphological,class11,0.489963,0.537974,Both
uyayithanda,unaledi.,morphological,class11,0.454477,0.513134,Both
bemisebenzi,shepherd,random_unrelated,,0.073597,0.096518,Both
esitebeleni,nesasasa.,random_unrelated,,0.46174,0.368218,Both
ubize,u-100%.,morphological,class11,0.763382,0.729368,Both
inkosi,umasipala,semantic_within,government,0.262685,0.40888,Both
ukhuni,imithi,semantic_within,nature,0.311767,0.443237,Both
umakhalekhukhwini,umatasa,morphological,class1_singular,0.290949,0.398664,Both
ezifanayo,ngengozi,random_unrelated,,0.415814,0.33607,Both
bajabule.,eyingxenye,random_unrelated,,0.292285,0.249599,Both
628),"senzenjani,”",random_unrelated,,0.369026,0.303318,Both
wenzeka,kukhononda,random_unrelated,,0.399938,0.324956,Both
ngobese-zuma,"zokuvakashela,",random_unrelated,,0.448013,0.358609,Both
okhulumaayo,ongamfanele.,random_unrelated,,0.287551,0.246286,Both
"izigubhu,",izoba,morphological,class8_plural,0.231938,0.357357,Both
ngobukhali,unkosi,cooccurrence,freq=66,0.36605,0.421235,Both
imantshi,imtshela,cooccurrence,freq=2,0.57718,0.569026,Both
ikhibhodi,theknoloji,semantic_within,technology,0.745857,0.7471,Both
655),ziphephile.,random_unrelated,,0.000152,0.045106,Both
idale,iso,morphological,class5_singular,0.433075,0.498152,Both
ethi:,kuyaphinda,random_unrelated,,0.29756,0.253292,Both
uyabona,"ubuhlakani.""",morphological,class11,0.040548,0.223384,Both
ukufunda,imfundo,semantic_within,education,0.214167,0.374917,Both
march,umbala,random_unrelated,,0.193548,0.180484,Both
uyabona,uzocula,morphological,class11,0.15334,0.302338,Both
nyanga,ifunde,random_unrelated,,0.087292,0.106104,Both
uqikelele,usinde,morphological,class11,0.381617,0.462132,Both
ulalele,umfundi,cooccurrence,freq=2,0.07677,0.218739,Both
izakhiwo,izinhliziyo,morphological,class8_plural,0.165838,0.311087,Both
abakhosi,ubunzima,cooccurrence,freq=54,0.137041,0.260929,Both
bomdabu,noma,cooccurrence,freq=2,0.154711,0.273298,Both
izindlela,"izilwane,",morphological,class8_plural,0.11151,0.273057,Both
awukhohlwa,"kothekwini,",random_unrelated,,0.407022,0.329915,Both
aphile,njengokufiswa.,random_unrelated,,0.164001,0.159801,Both
"abazithandayo,",ezinhle,cooccurrence,freq=2,0.156097,0.274268,Both
inyoni,izilwane,semantic_within,animals,0.383855,0.493699,Both
elanga,emgwaqeni,cooccurrence,freq=10,0.195005,0.301503,Both
"omanzi,",ubekakwe,random_unrelated,,0.285975,0.245183,Both
ibhotela,imifino,semantic_within,food,0.470805,0.554564,Both
ngekhwalithi,udisemba,random_unrelated,,0.48294,0.383058,Both
"ukuqonda,",ukuhoxa,morphological,class15_infinitive,0.34748,0.438236,Both
"ezinhle,",unokwanda,cooccurrence,freq=2,0.129206,0.255444,Both
eqhumisa,ungubane,cooccurrence,freq=2,0.627907,0.604535,Both
ehholo,likangqongqoshe,random_unrelated,,0.218616,0.198031,Both
imfuyo,asenhla,random_unrelated,,0.219546,0.198682,Both
ibamba,i-internet.,morphological,class5_singular,0.489586,0.53771,Both
imali,ukonga,semantic_within,money,0.339825,0.462878,Both
unyaka,unomthelela,morphological,class11,0.268553,0.382987,Both
afuze,nokugaya,random_unrelated,,0.576093,0.448265,Both
uwucishe,usafisa,morphological,class11,0.624343,0.63204,Both
imali,idola,semantic_within,money,0.337499,0.461249,Both
bayisebenzisa,zemindeni,cooccurrence,freq=46,0.143355,0.265348,Both
iphepha,impumelelo,semantic_within,education,0.131399,0.316979,Both
"elizayo,",okhuthazayo,cooccurrence,freq=6,0.433355,0.468349,Both
incwadi,umtapo,semantic_within,education,0.413116,0.514181,Both
kusukela,kuyakhombisa,random_unrelated,,0.211856,0.193299,Both
unyaka,uyageza,cooccurrence,freq=48,0.297391,0.373173,Both
ekhanyayo,ngobunyoninco,cooccurrence,freq=28,0.244392,0.336074,Both
abezimali,bakhulisa,cooccurrence,freq=60,0.13894,0.262258,Both
isicoco,isiqephu,morphological,class7_singular,0.573467,0.596427,Both
icorona,ipastors,morphological,class5_singular,0.730511,0.706358,Both
iphezulu,ihlosi,morphological,class5_singular,0.201367,0.335957,Both
amazambane,isikweletu,semantic_across,food_vs_money,0.502164,0.441515,Both
alikho,ubongani,cooccurrence,freq=18,0.246973,0.337881,Both
abesifazane,ngemva,cooccurrence,freq=2,0.20691,0.309837,Both
ukuphumelela.,ezizosiza,random_unrelated,,0.159336,0.156535,Both
ungadlula,uphatheke,morphological,class11,0.430602,0.496421,Both
empeleni,509),random_unrelated,,0.219894,0.198926,Both
ikilasi,iyasebenza,cooccurrence,freq=2,0.374626,0.427238,Both
ijabule.,marine,random_unrelated,,0.220629,0.19944,Both
izilwane,izinkomo,semantic_within,animals,0.333817,0.458672,Both
bathenga,"nawakhe,",random_unrelated,,0.206627,0.189639,Both
abaphenduli,kwezinyanga,cooccurrence,freq=16,0.257875,0.345512,Both
abakwasamro,zimema,random_unrelated,,0.318427,0.267899,Both
babona,entabeni,cooccurrence,freq=2,0.059658,0.206761,Both
kufanele,"“nokho,",cooccurrence,freq=2,0.203893,0.307725,Both
"abamthandayo,",uyambonga.,cooccurrence,freq=22,0.32101,0.389707,Both
utshala,ungiphekela,random_unrelated,,0.32509,0.272563,Both
awazi,"kuka-500,",random_unrelated,,0.445275,0.356692,Both
selihlulwe,nohandi,random_unrelated,,0.181876,0.172313,Both
impela,infotainment,random_unrelated,,0.170291,0.164204,Both
"u-2023,","ubudlelwane,",morphological,class11,0.225163,0.352614,Both
ukaze.,ukhuza,morphological,class15_infinitive,0.644528,0.64617,Both
izintaba,imifula,semantic_within,nature,0.194025,0.360817,Both
obhekele,ibhubesi,random_unrelated,,0.312009,0.263406,Both
abameli,nezinto,cooccurrence,freq=102,0.168085,0.282659,Both
nenhle.,imiqhudelwano.,random_unrelated,,0.202236,0.186565,Both
isimo,isiko,morphological,class7_singular,0.320273,0.419191,Both
uzokwazi,ubafundisa,morphological,class11,0.271218,0.384852,Both
"isikhathi,",zethu.,cooccurrence,freq=88,0.117882,0.247518,Both
"eziningi,",kwabantu.,cooccurrence,freq=12,0.054387,0.203071,Both
abafundi,abasha,morphological,class2_plural,0.5923,0.60961,Both
ilungiswe.,ilandelana.,morphological,class5_singular,0.401065,0.475746,Both
indlu,isikhungo,semantic_within,places,0.203384,0.367369,Both
kuphinde,isiphithiphithi,random_unrelated,,0.478969,0.380278,Both
inyama,isitsha,semantic_within,food,0.52639,0.593473,Both
ongenakulinganiswa.,unomcebo,cooccurrence,freq=8,0.38075,0.431525,Both
uflavio,u-r120.,morphological,class11,0.880867,0.811607,Both
intokazi,907),random_unrelated,,0.357072,0.294951,Both
ungalihloniphi,ubalekela,morphological,class11,0.427062,0.493944,Both
uvumayo,unginikeze,morphological,class11,0.30453,0.408171,Both
isenzakalo,isilonda,morphological,class7_singular,0.62073,0.629511,Both
ikhukhamba,isitsha,semantic_within,food,0.476086,0.55826,Both
abakhulu,abakwazi,morphological,class2_plural,0.356907,0.444835,Both
ukuvakasha,ukuzethemba.,morphological,class15_infinitive,-0.009697,0.188212,Both
ikhompiyutha,ukuxhumana,semantic_within,technology,0.327507,0.454255,Both
izimbuzi,izinsuku.,morphological,class8_plural,0.173127,0.316189,Both
bayabika,izintombi,cooccurrence,freq=32,0.243341,0.335339,Both
uthisha,isivivinyo,semantic_within,education,0.191279,0.358895,Both
izindleko,iziyalo,morphological,class8_plural,0.381278,0.461895,Both
"nokuhwebelana,",sokuqala,random_unrelated,,0.379863,0.310904,Both
kubo,ngenjabulo,cooccurrence,freq=6,0.141462,0.264024,Both
ukhuni,imifula,semantic_within,nature,0.223739,0.381617,Both
ikhompiyutha,theknoloji,semantic_within,technology,0.5041,0.57787,Both
i-video,ikucebise,morphological,class5_singular,0.673151,0.666206,Both
ngezindlela,"yabantu,",cooccurrence,freq=32,0.031207,0.186845,Both
lweqiniso,omnci,cooccurrence,freq=24,0.453803,0.482662,Both
ubunhloli,669),random_unrelated,,0.290521,0.248365,Both
enkonzweni,ngelanga,cooccurrence,freq=4,0.220706,0.319494,Both
uvezele,udadewabo,morphological,class11,0.38138,0.461966,Both
