word1,word2,strategy,detail,cosine_similarity,heuristic_score,in_vocab
u-2030,"usolwazi,",morphological,class11,0.281593,0.428956,Both
ukuhlukumeza,ukucwaninga,morphological,class15_infinitive,0.476106,0.545664,Both
nelamukelekile,ngo-9,random_unrelated,,0.19027,0.174162,Both
i-ub40,wedili,cooccurrence,freq=2,0.787433,0.69246,Both
ngaphansi,siyaye,cooccurrence,freq=2,0.249124,0.369474,Both
abaphase,abakhonze,morphological,class2_plural,0.372616,0.48357,Both
868),okufunda,random_unrelated,,0.348399,0.26904,Both
ukuwenza,ukungabi,morphological,class15_infinitive,0.484123,0.550474,Both
444),zonke,cooccurrence,freq=2,0.619691,0.591815,Both
923),nokuyitulo,random_unrelated,,0.393385,0.296031,Both
"eziyisiko,",ezandla,random_unrelated,,0.371723,0.283034,Both
abangani,bathumela,cooccurrence,freq=4,0.392121,0.455272,Both
umasipala,inkohlakalo,semantic_within,government,0.412311,0.547387,Both
ikati,icountryman,morphological,class5_singular,0.355336,0.473202,Both
umandla,umbono,morphological,class1_singular,0.374206,0.484524,Both
iseneminyaka,kahle,cooccurrence,freq=2,0.250994,0.370596,Both
umculo,icwecwe,semantic_within,music,0.457822,0.574693,Both
ikhuluma,ihlolwe.,morphological,class5_singular,0.274591,0.424754,Both
ukuyithengisa,ukwelashwa,morphological,class15_infinitive,0.269154,0.421493,Both
"""wumkhakha","amaningi,",cooccurrence,freq=2,0.310742,0.406445,Both
ukuzovakasha,ukuphuma,morphological,class15_infinitive,0.271739,0.423043,Both
thembelani,"into,""",random_unrelated,,0.382765,0.289659,Both
kweyesifunda,yemantshi,cooccurrence,freq=2,0.652648,0.611589,Both
ubisi,amazambane,semantic_within,food,0.489539,0.593723,Both
we-afro,"line,",random_unrelated,,0.445349,0.327209,Both
isimangaliso,isisiza,morphological,class7_singular,0.503546,0.562128,Both
abazali,emcimbini,cooccurrence,freq=2,0.408553,0.465132,Both
kodwa,okusho,cooccurrence,freq=2,0.302763,0.401658,Both
kakhongolose.,kuhlangene,cooccurrence,freq=2,0.473632,0.504179,Both
esizeni,kanti,cooccurrence,freq=2,0.296109,0.397666,Both
ngizokwandisa,"yezepolitiki,",cooccurrence,freq=2,0.475917,0.50555,Both
ye-cholesterol,emasimini,random_unrelated,,0.248363,0.209018,Both
benze,yabo.,cooccurrence,freq=2,0.280458,0.388275,Both
ungakuthola,uyazi,morphological,class11,0.359982,0.475989,Both
ukubhala,ulwazi,semantic_within,education,0.381457,0.528874,Both
ikakhulu,iwunqobe,morphological,class5_singular,0.394684,0.496811,Both
abasolwa,isiteshi,semantic_within,police_law,0.418422,0.551053,Both
ne-chicken,kwathiwa,random_unrelated,,0.331553,0.258932,Both
"emcimbini,",omnandi,cooccurrence,freq=2,0.423467,0.47408,Both
inkampani,amasheya,semantic_within,money,0.342848,0.505709,Both
njengezimpiko,umzimba,random_unrelated,,0.354198,0.272519,Both
usebheke,unekhamera,morphological,class11,0.401308,0.500785,Both
ubaba,usebenzise,morphological,class11,0.219482,0.391689,Both
izimoto,ehlakaza,random_unrelated,,0.240258,0.204155,Both
"usengalungiseka,",bazizwe,random_unrelated,,0.218373,0.191024,Both
abanombono,abangagcini,morphological,class2_plural,0.538013,0.582808,Both
siyivuselele.,"akwadukuza,",random_unrelated,,0.299527,0.239716,Both
nezinyoni,umoya,cooccurrence,freq=2,0.431657,0.478994,Both
"lezolimo,",nokufuya,cooccurrence,freq=2,0.515219,0.529131,Both
yesizwe,empilweni.,random_unrelated,,0.187967,0.17278,Both
ukuhambisana,ukuzigqaja,morphological,class15_infinitive,0.41558,0.509348,Both
nokujabula,ungene,cooccurrence,freq=2,0.418182,0.470909,Both
ime,ithathe,morphological,class5_singular,0.352701,0.471621,Both
"nasemaharani,",lodge,random_unrelated,,0.429698,0.317819,Both
indishi,umasipala,semantic_across,food_vs_government,0.267043,0.280226,Both
emide.,imibiko,cooccurrence,freq=4,0.710217,0.64613,Both
umfula,izintaba,semantic_within,nature,0.473339,0.584003,Both
ikhukhamba,isitsha,semantic_within,food,0.383593,0.530156,Both
630),babeyigila,random_unrelated,,0.351516,0.27091,Both
ibingamgculisi,iphumele,morphological,class5_singular,0.368264,0.480959,Both
ezoyidlala,uphunyuke.,random_unrelated,,0.309139,0.245483,Both
isikole,impumelelo,semantic_within,education,0.208559,0.425136,Both
uthenga,u-major,morphological,class11,0.362565,0.477539,Both
bomphakathi,ukuze,cooccurrence,freq=8,0.289209,0.393526,Both
u-r32,uyaxolisa,morphological,class11,0.44443,0.526658,Both
endawo,kufolda.,random_unrelated,,0.33679,0.262074,Both
aqinile,"kothekwini,",random_unrelated,,0.279362,0.227617,Both
asanda,zokuhlonipha,random_unrelated,,0.24747,0.208482,Both
ekuqiniseni,"ngokugcwele,",random_unrelated,,0.148712,0.149227,Both
baxoxa,imibono,cooccurrence,freq=4,0.525615,0.535369,Both
692),wamakhosi,random_unrelated,,0.310462,0.246277,Both
isinkwa,umsakazo,semantic_across,food_vs_technology,0.396513,0.357908,Both
abaphumelela,abambe,morphological,class2_plural,0.477214,0.546328,Both
umfundisi,ummangalelwa,morphological,class1_singular,0.307234,0.44434,Both
482),yahlala,random_unrelated,,0.349151,0.26949,Both
ezihlakaniphile,futhi,cooccurrence,freq=2,0.157021,0.314213,Both
zokwenza,(rhod),random_unrelated,,0.416987,0.310192,Both
babuyela,bevela,cooccurrence,freq=2,0.723923,0.654354,Both
umasipala,ubuntu,semantic_across,government_vs_culture,0.357115,0.334269,Both
uthebe,usukume,morphological,class11,0.266231,0.419739,Both
entsha,indlu,cooccurrence,freq=4,0.353242,0.431945,Both
"uhlabisa,odabuka",ungezwa,morphological,class11,0.344319,0.466591,Both
obe,komqhudelwano,random_unrelated,,0.488798,0.353279,Both
ayithole,kodwa,cooccurrence,freq=2,0.33252,0.419512,Both
uwafake,usumemezele,morphological,class11,0.396526,0.497916,Both
izingane.,izincwadi.,morphological,class8_plural,0.525444,0.575266,Both
zokuqhuba,kuleli.,random_unrelated,,0.204923,0.182954,Both
uthisha,uyaxolisa,morphological,class11,0.262094,0.417256,Both
ezahlukene,iya,cooccurrence,freq=2,0.083115,0.269869,Both
uzolivuma,untencane,morphological,class11,0.479978,0.547987,Both
isinkwa,ibhotela,semantic_within,food,0.439424,0.563654,Both
indlovukazi,isizwe,semantic_within,government,0.377322,0.526393,Both
"politburo,",ngabantu,random_unrelated,,0.258784,0.21527,Both
isenzakalo,iseyinde,morphological,class7_singular,0.613137,0.627882,Both
imisebenzi,"isikhathi,",cooccurrence,freq=2,0.266426,0.379856,Both
bakwenze,literacy,random_unrelated,,0.393648,0.296189,Both
zokubambelela,obekusobala,random_unrelated,,0.461301,0.33678,Both
997),lathutha,random_unrelated,,0.248468,0.209081,Both
okunezakhamzimba,382),random_unrelated,,0.36663,0.279978,Both
612),"njengeciko,”",random_unrelated,,0.417552,0.310531,Both
emnothweni,kusho,cooccurrence,freq=2,0.345429,0.427257,Both
kuye,"lutho,",cooccurrence,freq=2,0.407123,0.464274,Both
ukusetshenziswa,ukwabelana,morphological,class15_infinitive,0.22313,0.393878,Both
sehlobo.,esekhona,random_unrelated,,0.294272,0.236563,Both
kugxilwe,ekudlaleni,random_unrelated,,0.290327,0.234196,Both
umthetho,umgqigqo.,morphological,class1_singular,0.395837,0.497502,Both
ngawo.,umthandazo,random_unrelated,,0.188505,0.173103,Both
udkt,u-amahle,morphological,class11,0.34467,0.466802,Both
usezohoxa,urichard,morphological,class11,0.340322,0.464193,Both
izethulo,iziqu,morphological,class8_plural,0.435222,0.521133,Both
komfula,amathikithi,random_unrelated,,0.217128,0.190277,Both
ibonakale,iphuzu,morphological,class5_singular,0.312068,0.447241,Both
balo,nalokho,cooccurrence,freq=2,0.417987,0.470792,Both
-,nsizwa,cooccurrence,freq=2,0.344265,0.426559,Both
usetshenziswa,"ungowakho,",morphological,class11,0.281645,0.428987,Both
ingoma,umculo,semantic_within,music,0.367749,0.52065,Both
abaningi,bacabanga,cooccurrence,freq=2,0.40119,0.460714,Both
112),nokubambisana,cooccurrence,freq=2,0.734432,0.660659,Both
"uvalo,",ubhekani,morphological,class11,0.311795,0.447077,Both
in,international,cooccurrence,freq=4,0.655637,0.613382,Both
ezihlala,izinhlelo,cooccurrence,freq=2,0.320729,0.412437,Both
ngokucophelela.,"yisigwili,",random_unrelated,,0.287311,0.232387,Both
ekufeni,kubasiza,random_unrelated,,0.446259,0.327755,Both
ukumiswa,ukunakekela,morphological,class15_infinitive,0.381355,0.488813,Both
ukubonga,ukuziphuza,morphological,class15_infinitive,0.285878,0.431527,Both
futhi,kulokhu,cooccurrence,freq=2,0.154884,0.312931,Both
zokuphila,563),random_unrelated,,0.485786,0.351472,Both
ulimit,unhlanhla,morphological,class11,0.452369,0.531422,Both
ulieutenant,unina.,morphological,class11,0.321357,0.452814,Both
nokuthi,ukuhlenga,cooccurrence,freq=2,0.193303,0.335982,Both
ehlube,udlubu,cooccurrence,freq=2,0.640386,0.604231,Both
futhi,izimfanelo,cooccurrence,freq=8,0.319846,0.411908,Both
amajezi,wesimanje,cooccurrence,freq=8,0.545385,0.547231,Both
elizayo.,ehlukahlukene.,random_unrelated,,0.348175,0.268905,Both
"usuxoshiwe,""",ulinda.,morphological,class11,0.515736,0.569441,Both
i-zesco,ngokubona,cooccurrence,freq=2,0.383616,0.45017,Both
ibhasi,ibhayisikili.,morphological,class5_singular,0.668636,0.661182,Both
abanye,bechuma,cooccurrence,freq=2,0.51019,0.526114,Both
"ubungane,",uthandana,morphological,class11,0.456131,0.533679,Both
kusukela,lokuthi,cooccurrence,freq=2,0.230394,0.358236,Both
inkosi,imeya,semantic_within,government,0.426796,0.556078,Both
uhlelo,usikhulisile,morphological,class11,0.144058,0.346435,Both
kwabantu,ngokuba,cooccurrence,freq=2,0.190931,0.334559,Both
baveze,ngokuhweba,random_unrelated,,0.293623,0.236174,Both
"ebhilidini,",ngokunakekela.,random_unrelated,,0.336095,0.261657,Both
unenkinga,ucwaningo.,morphological,class11,0.410179,0.506107,Both
umhlengikazi,imvelo,semantic_across,health_vs_nature,0.330997,0.318598,Both
babhekane,lokhu,cooccurrence,freq=2,0.296663,0.397998,Both
ufundisa,ugqama,morphological,class11,0.301816,0.44109,Both
ukuphoxeka,ukuzihlanza,morphological,class15_infinitive,0.354823,0.472894,Both
i-al,angene,random_unrelated,,0.306857,0.244114,Both
usehoxa,uhla,morphological,class11,0.337089,0.462253,Both
nge-apple,uxhuma,cooccurrence,freq=2,0.433584,0.48015,Both
izilwane,izinja,semantic_within,animals,0.448223,0.568934,Both
bafunda,ukuxhumana,cooccurrence,freq=2,0.298842,0.399305,Both
akhe.,kucishe,cooccurrence,freq=2,0.420762,0.472457,Both
nabasebancane,izihlalo,random_unrelated,,0.299773,0.239864,Both
amafutha,enjini,cooccurrence,freq=2,0.405999,0.463599,Both
uqale,ubhoboke,morphological,class11,0.445336,0.527201,Both
"ewabonga,",427),random_unrelated,,0.369944,0.281967,Both
bavumelene,kodwa,cooccurrence,freq=2,0.29149,0.394894,Both
ithathe,ubani,random_unrelated,,0.248237,0.208942,Both
"ibandla,",ibhalwe,morphological,class5_singular,0.181928,0.369157,Both
ilotsholwe,i-malnutrition.,morphological,class5_singular,0.322641,0.453584,Both
udalule,ulinda.,morphological,class11,0.240872,0.404523,Both
"ocingweni,",empangeni,random_unrelated,,0.395654,0.297392,Both
oneminyaka,weveni,cooccurrence,freq=4,0.50412,0.522472,Both
unota,ushiye,morphological,class11,0.447629,0.528577,Both
isiteshi,inkantolo,semantic_within,police_law,0.483678,0.590207,Both
udokotela.,unokushibilika,morphological,class11,0.388938,0.493363,Both
umuntu,inkantolo,semantic_across,family_vs_police_law,0.160927,0.216556,Both
aziwa,kumele,cooccurrence,freq=2,0.41462,0.468772,Both
"uuzovakasha,",yokuthi,random_unrelated,,0.24849,0.209094,Both
ukukhetha,ukuqhubeka,morphological,class15_infinitive,0.302352,0.441411,Both
"""sesifikile",nogazi,random_unrelated,,0.174728,0.164837,Both
indlovukazi,icala,semantic_within,government,0.52585,0.61551,Both
ikhofi,ivume,morphological,class5_singular,0.46508,0.539048,Both
yisona,"wami,”",random_unrelated,,0.371611,0.282967,Both
yambangela,engu-10,random_unrelated,,0.342418,0.265451,Both
"nezamaqanda,","okuyiklabishi,",cooccurrence,freq=2,0.682543,0.629526,Both
insila,inezibani,morphological,class9_singular,0.456363,0.533818,Both
ofuna,uphumelele,cooccurrence,freq=2,0.353299,0.431979,Both
"isasol,",benqaba,random_unrelated,,0.364751,0.278851,Both
ukuvakashela,479),random_unrelated,,0.378404,0.287042,Both
ungqongqoshe,uxhumana,morphological,class11,0.265984,0.419591,Both
izimemezelo,izobe,morphological,class8_plural,0.352114,0.471268,Both
angazehlisi.,nemvelo,random_unrelated,,0.201487,0.180892,Both
uyaziqhenya,ushelele,morphological,class11,0.287341,0.432405,Both
uvakashele,ubheke,morphological,class11,0.32928,0.457568,Both
ukade,uzihlalele,cooccurrence,freq=2,0.475936,0.505562,Both
laba,imiphumela,random_unrelated,,0.227991,0.196795,Both
kwezwe,umfula,cooccurrence,freq=2,0.483737,0.510242,Both
"ukuzofunda,",ukugqama,morphological,class15_infinitive,0.382765,0.489659,Both
usemusha,uzisayinele,morphological,class11,0.432939,0.519763,Both
ulwandle,imvelo,semantic_within,nature,0.258317,0.45499,Both
umacashelana,"umalinga,",morphological,class1_singular,0.442947,0.525768,Both
lelo,lwesigqi,random_unrelated,,0.382401,0.28944,Both
ephezulu,kwabezempilo,cooccurrence,freq=2,0.307321,0.404393,Both
"nezaga,",ulimi,cooccurrence,freq=2,0.508375,0.525025,Both
eziphuma,izivakashi,cooccurrence,freq=2,0.46079,0.496474,Both
14),azifake,random_unrelated,,0.39087,0.294522,Both
usikhulisile,ngengoma,random_unrelated,,0.174525,0.164715,Both
ungayi,ulindele,morphological,class11,0.375035,0.485021,Both
abafana,abalisa,morphological,class2_plural,0.559311,0.595587,Both
"unakekeleke,",ubhekene,morphological,class11,0.397902,0.498741,Both
ezizobakhuba,zikhona,cooccurrence,freq=4,0.583446,0.570068,Both
inhloko,unksz,cooccurrence,freq=2,0.49081,0.514486,Both
"elibucayi,",layiswa,cooccurrence,freq=4,0.671679,0.623007,Both
ingubo,nobuhle.,cooccurrence,freq=2,0.308856,0.405314,Both
yokuhlinza,547),random_unrelated,,0.311597,0.246958,Both
ukuqhubeka,ukungaphumeleli,morphological,class15_infinitive,0.439339,0.523603,Both
ibilokhu,ifinyelela,morphological,class5_singular,0.237048,0.402229,Both
umfazi,ingane,semantic_within,family,0.344446,0.506668,Both
iya,ithathe,morphological,class5_singular,0.338292,0.462975,Both
usecape,ucabanga,morphological,class11,0.273853,0.424312,Both
umfundisi,umbenenge,morphological,class1_singular,0.389974,0.493984,Both
aphindisela,baphendule,cooccurrence,freq=2,0.498703,0.519222,Both
uzoqala,usiba,morphological,class11,0.39238,0.495428,Both
izimvu,izinja,semantic_within,animals,0.63382,0.680292,Both
ikhefu,ngiyabona,random_unrelated,,0.272859,0.223715,Both
"zasemakhaya,",kushoda,random_unrelated,,0.358769,0.275261,Both
izithembiso,izikhala,morphological,class8_plural,0.467856,0.540713,Both
lapho,uzofike,cooccurrence,freq=4,0.365418,0.439251,Both
"city,",sigameko,random_unrelated,,0.343898,0.266339,Both
nokubhala.,"izibani,",random_unrelated,,0.142685,0.145611,Both
nophiko,zamahhotela,cooccurrence,freq=4,0.599572,0.579743,Both
ezikhulayo,kwemfundo,cooccurrence,freq=2,0.500778,0.520467,Both
lokuqhuba,bayamjabulisa,random_unrelated,,0.279748,0.227849,Both
iphepha,ulwazi,semantic_within,education,0.335648,0.501389,Both
ezivela,zidlala,cooccurrence,freq=10,0.415288,0.469173,Both
ukuhlolwa,ukuzokhangisa,morphological,class15_infinitive,0.278261,0.426956,Both
behlome,izivivinyo,random_unrelated,,0.354825,0.272895,Both
imeya,indlovukazi,semantic_within,government,0.487183,0.59231,Both
iphepha,idolobha,semantic_across,education_vs_places,0.282195,0.289317,Both
ukhalo,ongayeki,random_unrelated,,0.36123,0.276738,Both
luhlale,ama-video,random_unrelated,,0.254597,0.212758,Both
amatotho,ngokushesha.,cooccurrence,freq=4,0.475468,0.505281,Both
futhi,"yezemidlalo,",cooccurrence,freq=4,0.165562,0.319337,Both
lokuphepha,nobuqotho,random_unrelated,,0.241248,0.204749,Both
mzobe,sekungumlando,cooccurrence,freq=2,0.691658,0.634995,Both
ihlazo,"kwaso,",cooccurrence,freq=2,0.456703,0.494022,Both
sokufunda,ze-aucturial,cooccurrence,freq=2,0.561088,0.556653,Both
ngaphambili,zasendle,random_unrelated,,0.164456,0.158673,Both
opholile.,"zokuphumula,",random_unrelated,,0.487384,0.35243,Both
isikole,ukubhala,semantic_within,education,0.268141,0.460884,Both
kwezidakamizwa,nokusetshenziswa,cooccurrence,freq=2,0.527339,0.536403,Both
yomthetho,ngenkani,random_unrelated,,0.426058,0.315635,Both
esezilanda,khona.,cooccurrence,freq=2,0.439507,0.483704,Both
ucassper,uzibona,morphological,class11,0.313762,0.448257,Both
usizo,ususegunjini,morphological,class11,0.367345,0.480407,Both
ipakiwe,ukuze,cooccurrence,freq=2,0.345134,0.427081,Both
ukubhala,umtapo,semantic_within,education,0.43767,0.562602,Both
uhlale,uqinise,morphological,class11,0.390382,0.494229,Both
sayomisa,"""cat""",random_unrelated,,0.358171,0.274903,Both
eyodwa,kakhulu,cooccurrence,freq=2,0.390448,0.454269,Both
ukugoduka,ukwesekana,morphological,class15_infinitive,0.530381,0.578228,Both
ukufaka,ukudela,morphological,class15_infinitive,0.513647,0.568188,Both
"egoli,","nasepitoli,",cooccurrence,freq=2,0.779011,0.687407,Both
uyamfundisa,usiba,morphological,class11,0.389,0.4934,Both
ufihlwe,utshala,morphological,class11,0.175466,0.365279,Both
ababeholwa,esidlule.,random_unrelated,,0.301166,0.2407,Both
ungahlali,ungathi,morphological,class11,0.62466,0.634796,Both
yini,namaphoyisa,random_unrelated,,0.204766,0.18286,Both
ubizo,uyaqonda,morphological,class11,0.410714,0.506428,Both
"kwesikhathi,",ngokuhamba,cooccurrence,freq=2,0.534825,0.540895,Both
i-culinary,"iqembu,",morphological,class5_singular,0.396081,0.497649,Both
iphepha,imoto,semantic_across,education_vs_transport,0.318154,0.310893,Both
nokhayelihle,651),random_unrelated,,0.376241,0.285744,Both
inxusa,"ingud',",morphological,class9_singular,0.549016,0.58941,Both
inakekele,umndeni,cooccurrence,freq=2,0.493217,0.51593,Both
ngezinhlelo,okusebenza,cooccurrence,freq=2,0.222543,0.353526,Both
abatholwe,"abameli,",morphological,class2_plural,0.568964,0.601379,Both
inja,iqhude,semantic_within,animals,0.235521,0.441313,Both
wamphuca,mokaba,random_unrelated,,0.482894,0.349736,Both
ekusindiseni,umklomelo,random_unrelated,,0.302093,0.241256,Both
imfundo,ingcebo,semantic_across,education_vs_money,0.353587,0.332152,Both
nezinhlelo,kwaphazamisa,random_unrelated,,0.105488,0.123293,Both
obubhalele,yezingane,random_unrelated,,0.239529,0.203717,Both
umalema,umhlabathi,morphological,class1_singular,0.357761,0.474657,Both
"konyaka,",kusesimweni,random_unrelated,,0.2941,0.23646,Both
"enezimbobo,",uphahla.,cooccurrence,freq=2,0.670028,0.622017,Both
endala,ababekhona,random_unrelated,,0.178698,0.167219,Both
ukubhala,imfundo,semantic_within,education,0.249453,0.449672,Both
okwesibili,enhle.,random_unrelated,,0.288991,0.233395,Both
wenza,kusemqondweni,random_unrelated,,0.322422,0.253453,Both
isikole,ngokwenza,cooccurrence,freq=2,0.261844,0.377106,Both
imali,"kwisafa,",cooccurrence,freq=2,0.384832,0.450899,Both
angakwazanga,ngomashi,random_unrelated,,0.358207,0.274924,Both
e-adam's,ephuza,random_unrelated,,0.494416,0.35665,Both
eziyimfihlakalo,ziphasa,random_unrelated,,0.272653,0.223592,Both
unosipho.,uqolothakamango,morphological,class11,0.452537,0.531522,Both
indlu,isikhungo,semantic_within,places,0.261132,0.456679,Both
uthisha,ukubhala,semantic_within,education,0.470809,0.582486,Both
amasha.”,amasevisi,morphological,class6_plural,0.62538,0.635228,Both
"ikhona,",i-corpus,morphological,class5_singular,0.331996,0.459197,Both
"ukunakekela,",ukuphefumula,morphological,class15_infinitive,0.408246,0.504947,Both
igoli,ngokusebenza,random_unrelated,,0.211316,0.18679,Both
engiyitholile.,esanda,random_unrelated,,0.428468,0.317081,Both
amakepisi,ngekhwalithi,cooccurrence,freq=24,0.618422,0.591053,Both
lula,zizobe,cooccurrence,freq=2,0.276287,0.385772,Both
"johannesburg,",uthe,cooccurrence,freq=4,0.368995,0.441397,Both
ikati,udokotela,semantic_across,animals_vs_health,0.328759,0.317256,Both
ukuthutheleka,"zabo,",cooccurrence,freq=2,0.390195,0.454117,Both
ulungiselela,ubekade,morphological,class11,0.254169,0.412501,Both
ngokubaluleka,unaliphi,cooccurrence,freq=4,0.457144,0.494287,Both
bayavakashela,nsuku,cooccurrence,freq=2,0.369415,0.441649,Both
"zasendle,",ababanawo,random_unrelated,,0.204169,0.182502,Both
imoto,ukuhamba,semantic_within,transport,0.239276,0.443566,Both
lokusebenza.,literacy,random_unrelated,,0.305727,0.243436,Both
ungenza,uzitshele,morphological,class11,0.434848,0.520909,Both
eyahlukene,eziyimfihlakalo,cooccurrence,freq=2,0.383934,0.450361,Both
izandla,izinkomo.,morphological,class8_plural,0.321344,0.452806,Both
womjaho,mqeqeshi.,random_unrelated,,0.449405,0.329643,Both
lwezingoma,ne-best,cooccurrence,freq=2,0.566119,0.559671,Both
ushiye,usufonela,morphological,class11,0.387121,0.492272,Both
ukuthi,ukufakwa,morphological,class15_infinitive,0.272795,0.423677,Both
abasolwa,icala,semantic_within,police_law,0.270947,0.462568,Both
izigqoko,wonke,cooccurrence,freq=8,0.403368,0.462021,Both
731),wasukuma,random_unrelated,,0.404695,0.302817,Both
umfazi,umfana,semantic_within,family,0.656145,0.693687,Both
ibhizinisi,iwumphumela,morphological,class5_singular,0.32264,0.453584,Both
andukuba,lokungenela,cooccurrence,freq=4,0.524524,0.534714,Both
abaqeqeshi,(23),random_unrelated,,0.175871,0.165523,Both
kumshayeli,"i-internet,",random_unrelated,,0.360796,0.276478,Both
ucingo,ukudlala,semantic_across,technology_vs_sport,0.212383,0.24743,Both
ucotshelelwa,usawoti,morphological,class11,0.43463,0.520778,Both
ijabule.,iport,morphological,class5_singular,0.379409,0.487645,Both
uyayemukela,uzixine,morphological,class11,0.497576,0.558546,Both
kubhekwe,yakhe,cooccurrence,freq=4,0.257896,0.374737,Both
amalungu,amagumbi,morphological,class6_plural,0.505401,0.56324,Both
ohlelweni,wegagasi,cooccurrence,freq=2,0.523311,0.533987,Both
amasiko,amakhala,morphological,class6_plural,0.464005,0.538403,Both
le-icwecwe.,kusiza,random_unrelated,,0.195842,0.177505,Both
ijabule.,ngezinto,cooccurrence,freq=4,0.49162,0.514972,Both
imifino,ikhukhamba,semantic_within,food,0.467561,0.580537,Both
573),nesandlla,random_unrelated,,0.294528,0.236717,Both
"nezinkawu,",zasendle,cooccurrence,freq=4,0.485314,0.511189,Both
abahlengikazi,uzoqasha,cooccurrence,freq=2,0.570496,0.562298,Both
izigameko,"izingane,",morphological,class8_plural,0.489555,0.553733,Both
ababezethemba,abasigxekayo,morphological,class2_plural,0.51817,0.570902,Both
ikati,izimvu,semantic_within,animals,0.44512,0.567072,Both
agcwele,nasezimakethe,random_unrelated,,0.315961,0.249576,Both
iquantum,zemithi,random_unrelated,,0.196589,0.177953,Both
okuba,ayikwazanga,random_unrelated,,0.203202,0.181921,Both
"ngabantu,",abawenzayo,random_unrelated,,0.421292,0.312775,Both
747),bephilile.,random_unrelated,,0.477238,0.346343,Both
nabangani,uthando,cooccurrence,freq=4,0.36918,0.441508,Both
iphunga,imk,morphological,class5_singular,0.201095,0.380657,Both
isho,usinde,random_unrelated,,0.428744,0.317246,Both
kuthele,745),random_unrelated,,0.4072,0.30432,Both
ukuvimbela,ukukhohlwa,morphological,class15_infinitive,0.470603,0.542362,Both
ukuzovakasha,ukukhuluma,morphological,class15_infinitive,0.217743,0.390646,Both
induku,inamafasitela,morphological,class9_singular,0.451359,0.530815,Both
ulale,uzophokophelela,morphological,class11,0.323228,0.453937,Both
inewini,elihloniphana,random_unrelated,,0.328542,0.257125,Both
ngokumemezla,"ibhola,",random_unrelated,,0.22888,0.197328,Both
"ucolonel,",wakhe,cooccurrence,freq=2,0.433217,0.47993,Both
402),yaya,random_unrelated,,0.405989,0.303594,Both
ngolwesithathu,ezaziyilandela.,random_unrelated,,0.373652,0.284191,Both
eziningi,ngingayikhiphi.,random_unrelated,,0.378708,0.287225,Both
"u-2023,",unamandla,morphological,class11,0.284719,0.430832,Both
zokuhlala.,lawrence,random_unrelated,,0.325793,0.255476,Both
uhoxisa,bazizwe,random_unrelated,,0.067344,0.100406,Both
azilali,754),random_unrelated,,0.447038,0.328223,Both
izingqondo.,"ezempilo,",random_unrelated,,0.414098,0.308459,Both
yakubo,baxabana,random_unrelated,,0.29359,0.236154,Both
ubuzwe,usinde,morphological,class11,0.429533,0.51772,Both
ngemfundiso,esizizwa,random_unrelated,,0.339733,0.26384,Both
udokotela,ukwelapha,semantic_within,health,0.521975,0.613185,Both
kulabo,luzobandakanya,cooccurrence,freq=2,0.5001,0.52006,Both
icorona,iwest.,morphological,class5_singular,0.505258,0.563155,Both
yeqoqo,nomhlabathi,random_unrelated,,0.216631,0.189979,Both
uvele,ungeniswe,morphological,class11,0.327837,0.456702,Both
ukuyidlulisela,"ukuwabulala,",morphological,class15_infinitive,0.361266,0.476759,Both
bekhula,enengqondo,random_unrelated,,0.346373,0.267824,Both
kanti,namaphoyisa,cooccurrence,freq=2,0.224454,0.354672,Both
ibhethri,i-african,morphological,class5_singular,0.380808,0.488485,Both
ukuyokwenza,unqume,cooccurrence,freq=2,0.568025,0.560815,Both
imininingwane,elimnandi,random_unrelated,,0.249871,0.209922,Both
2024.,"24,",cooccurrence,freq=2,0.880582,0.748349,Both
azibeke,ngokunqoba,cooccurrence,freq=2,0.465692,0.499415,Both
uphahla.,unaledi.,morphological,class11,0.410168,0.506101,Both
ngisho,uhlonishwe,random_unrelated,,0.367126,0.280276,Both
indlu,umuntu,cooccurrence,freq=2,0.280601,0.388361,Both
assitant,referee,cooccurrence,freq=2,0.900707,0.760424,Both
bahlinzeka,kaphethroli,random_unrelated,,0.279505,0.227703,Both
bayaqapha,ngokuhamba,cooccurrence,freq=2,0.424499,0.4747,Both
babo,aveze,random_unrelated,,0.288385,0.233031,Both
ukungcola,ukuqopha,morphological,class15_infinitive,0.486028,0.551617,Both
abawu-70,abavelele,morphological,class2_plural,0.536873,0.582124,Both
isandla,isheshe,morphological,class7_singular,0.351359,0.470816,Both
ivela,iconstruction,morphological,class5_singular,0.315475,0.449285,Both
izifo.,877),random_unrelated,,0.392094,0.295257,Both
"noncibijane,","lezolimo,",random_unrelated,,0.324795,0.254877,Both
ujwayeze,usumemezele,morphological,class11,0.377777,0.486666,Both
court,elifudumele.,random_unrelated,,0.340917,0.26455,Both
wabulala,sazi,random_unrelated,,0.383101,0.289861,Both
ukwesekwa,ukunyakaza,morphological,class15_infinitive,0.462185,0.537311,Both
isikole,ukufunda,semantic_within,education,0.312264,0.487358,Both
ukubaluleka,ukuvakashela,morphological,class15_infinitive,0.239912,0.403947,Both
iphepha,igcine,morphological,class5_singular,0.335786,0.461472,Both
emisebenzi.”,seyakhekile,random_unrelated,,0.269821,0.221893,Both
icala,inkantolo,semantic_within,police_law,0.516898,0.610139,Both
uthanda,ubulele,morphological,class11,0.316213,0.449728,Both
umfundi,uthisha,semantic_within,education,0.556285,0.633771,Both
